Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Inside Sales Executive,Expertrons,Mumbai,"₹ 3,60,000 - 7,00,000",0-4 years,https://internshala.com/uploads/logo%2F635fded8b34091667227352.jpeg
Associate Telecaller,IIDE Education Private Limited,Mumbai,"₹ 2,73,000 - 3,00,000",0-1 years,none
Corporate Sales Executive,PGN Travel Shop (Lagya Visa),Delhi,"₹ 2,00,000 - 3,00,000",0 years,none
Digital Marketing Manager,Dhwani Astro,Delhi,"₹ 5,00,000 - 6,00,000",4-5 years,https://internshala-uploads.internshala.com/logo%2Fimwj43vz6hh-30654.jpg.webp
Sales Executive - Real Estate,Reflex Realty LLP,Mumbai,"₹ 2,00,000 - 2,50,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F62b57b451a6671656060741.jpg.webp
Accounts Payable Executive,Arcatron Mobility Private Limited,Pune,"₹ 2,50,000 - 2,75,000",1-2 years,none
Digital Marketing Executive,MyMedicineBox - 3S Healthcare Private Limited,Mumbai,"₹ 2,00,000 - 2,40,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F61ef2696d035d1643062934.png.webp
Content Writer - Junior,Growify Digital,Delhi,"₹ 2,00,000 - 2,50,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F62456d8f36c1d1648717199.png.webp
German Translator,Sentriscope Data Intelligence Private Limited,Noida,"₹ 2,00,000 - 3,50,000",0-3 years,https://internshala-uploads.internshala.com/logo%2Fdxoy8pv77yk-12922.jpg.webp
Corporate Sales Associate,Break The Code,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,none
Digital Marketing Associate,Break The Code,Mumbai,"₹ 2,00,000 - 4,00,000",0-2 years,none
Junior Social Media Marketing Associate,Break The Code,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,none
Facebook Marketing Specialist,Break The Code,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,none
Human Resources (HR) Associate,Break The Code,Mumbai,"₹ 2,00,000 - 3,00,000",0-1 years,none
Digital Marketing Executive,Amber LifeSciences Private Limited,"Navi Mumbai, Mumbai","₹ 2,00,000 - 2,20,000",0-1 years,https://internshala-uploads.internshala.com/logo%2Fc7x3416jlen-10249.png.webp
Google Tag Manager (GTM) And Google Analytics (GA)4 Expert,Warewe Consultancy Private Limited,Gurgaon,"₹ 3,00,000 - 5,00,000",1-5 years,none
Shopify Operations Executive,Growify Digital,Delhi,"₹ 2,00,000 - 4,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F62456d8f36c1d1648717199.png.webp
Video Editor,Growify Digital,Delhi,"₹ 2,00,000 - 6,00,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F62456d8f36c1d1648717199.png.webp
Online Reputation Executive,InstaAstro,Noida,"₹ 2,00,000 - 3,00,000",0-1 years,https://internshala.com/uploads/logo%2F647d92e483e131685951204.jpeg
Customer Relationship Executive,InstaAstro,Noida,"₹ 2,00,000 - 3,00,000",0-1 years,https://internshala.com/uploads/logo%2F647d92e483e131685951204.jpeg
Loan Officer,WeMakeScholars,"Indore, Kanpur, Hyderabad, Bhopal, Jalandhar, Begumpet, Rajasthali, Punjab, Karnataka","₹ 3,50,000 - 3,90,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcc7782c41580195015.png.webp
Business Development Manager,Bonanza Portfolio Limited,"Amritsar, Delhi, Jalandhar, Panchkula, Bangalore","₹ 3,00,000 - 4,20,000",1-5 years,https://internshala-uploads.internshala.com/logo%2Favczy3vtzhl-10454.png.webp
Human Resources (HR) Executive,R J Gala & Associates,Mumbai,"₹ 2,00,000",1-2 years,none
Cinematographer,Bluntly Streaming,"Delhi, Gurgaon, Noida","₹ 2,00,000 - 3,00,000",0 years,none
Export Business Development Manager,Slaughter & Fox,"Kolkata, Goa Velha                                            (Hybrid)","₹ 7,00,000 - 9,00,000",2-5 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd965c0371580195222.png.webp
3D Art,Bluntly Streaming,"Delhi, Gurgaon, Noida","₹ 2,00,000 - 3,00,000",0 years,none
