Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Corporate Sales Executive,BDNT Labs Private Limited,Ahmedabad,"₹ 6,00,000 - 7,00,000",4-5 years,https://internshala-uploads.internshala.com/logo%2F1b2urk67ph4-11136.png.webp
Customer Relations Specialist,Rudralife,Mumbai,"₹ 3,00,000",1-4 years,https://internshala-uploads.internshala.com/logo%2F647d813a412271685946682.png.webp
Data Entry Associate,Rainbow Enterprises,Jaipur,"₹ 2,00,000 - 2,10,000",0-2 years,https://internshala-uploads.internshala.com/logo%2Fczr4a1txcdp-23377.jpg.webp
Digital Marketing Executive,Sharedpro,Vadodara,"₹ 2,40,000 - 3,60,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd70ed2881580195184.png.webp
Alliance Executive,Sharedpro,Vadodara,"₹ 2,40,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd70ed2881580195184.png.webp
Junior Motion Graphics Specialist,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Graphic Designer,CollegeTips Ed Tech Media Private Limited,Bhopal,"₹ 3,00,000 - 5,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F62712dadecd481651584429.jpg.webp
Telecaller,IG Drones,Ahmedabad,"₹ 2,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5fa11cd15ea1d1604394193.png.webp
Relationship Manager,Bonanza Portfolio Limited,"Mumbai, Nashik","₹ 2,00,000 - 3,00,000",1-5 years,https://internshala-uploads.internshala.com/logo%2Favczy3vtzhl-10454.png.webp
Lead Content Writer,Localitaz Geofencing Innovations Private Limited,Delhi,"₹ 2,00,000",1 year,https://internshala-uploads.internshala.com/logo%2F81i31vl1q2n-19821.png.webp
Junior Social Media Marketing Associate,Stax Media,Delhi                                            (Hybrid),"₹ 2,00,000 - 2,00,001",1-2 years,https://internshala-uploads.internshala.com/logo%2F7gbir67ombl-53579.jpg.webp
Business Development Associate,AnsrOne,"Delhi, Gurgaon, Noida                                            (Hybrid)","₹ 5,00,000 - 7,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5fc1019915b221606484377.png.webp
Customer Support Associate,BlobCity,Mumbai,"₹ 2,16,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdbe09fb381580194784.png.webp
Junior Loan Officer,"WeMakeScholars (Hyderabad, India)","Ahmedabad, Chennai, Coimbatore, Delhi, Pune, Surat, Secunderabad, Hyderabad, Mumbai, Kanpur Dehat, Gujrat (Pakistan), Tamil Nadu, Tirupati, Madurai","₹ 3,50,000 - 3,90,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcc7782c41580195015.png.webp
Sales Officer,WeMakeScholars,"Asansol, Delhi, Siliguri, Secunderabad, Bidar, Hubli, Bangalore, Hyderabad, Bhopal, Mumbai, Nagpur, Kanpur Dehat, Ameerpet, Belgaum, Begumpet","₹ 3,50,000 - 3,90,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcc7782c41580195015.png.webp
Financial Associate,WeMakeScholars,"Ahmedabad, Amritsar, Madurai, Tirupati, Secunderabad, Bidar, Bangalore, Hyderabad, Vadodara, Tiruvallur, Chandigarh, Kompally, Ameerpet, Begumpet, Tamil Nadu","₹ 3,00,000 - 3,70,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcc7782c41580195015.png.webp
Back Office Executive,SR FAST CONNECT STAFFING PRIVATE LIMITED,Pune,"₹ 2,50,000 - 3,50,000",0 years,none
Flutter Developer,Fabulous Media Private Limited,Gurgaon,"₹ 2,00,000 - 3,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdcdca69771580195036.png.webp
Back Office Executive,SR FAST CONNECT STAFFING PRIVATE LIMITED,Anantpur,"₹ 2,50,000 - 3,50,000",0 years,none
Data Entry Executive,SR FAST CONNECT STAFFING PRIVATE LIMITED,Kurnool,"₹ 2,50,000 - 3,50,000",0 years,none
Invigilator,SR FAST CONNECT STAFFING PRIVATE LIMITED,Solapur,"₹ 2,50,000 - 3,50,000",0 years,none
Junior Social Media Marketing Associate,Axe Consultancy And Security Services LLC,Dehradun,"₹ 2,00,000 - 3,00,000",1-2 years,none
Business Development Executive,Primary Healthtech,Guwahati,"₹ 5,00,000 - 5,00,001",2-4 years,https://internshala-uploads.internshala.com/logo%2F5fdb291b76a721608198427.jpg.webp
Junior Field Sales Manager,Mayur Bricks,"Kolkata, Howrah, Bagnan, Dankuni, Amta, Panchla, Sankrail, Dhulagari                                            (Hybrid)","₹ 2,00,000 - 3,00,000",0 years,https://internshala.com/uploads/logo%2F61cca0a37953b1640800419.jpeg
Corporate Sales Manager,BDNT Labs Private Limited,Nagpur,"₹ 3,00,000 - 5,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F1b2urk67ph4-11136.png.webp
Junior Social Media Marketing Manager,Krishna Enterprises,Jaipur,"₹ 2,00,000",1-3 years,https://internshala.com/uploads/logo%2F3j44othn90r-29796.jpeg
Associate Project Manager,Techdome Solutions Private Limited,Indore,"₹ 2,00,000 - 4,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F605f4c22121361616858146.png.webp
Photographer & Visual Storyteller,Framed,Kolkata,"₹ 3,60,000 - 6,00,000",1-3 years,https://internshala-uploads.internshala.com/logo%2Ff2wx8lge1pi-32909.jpg.webp
Junior Video Editor,Qyuki Digital Media Private Limited,Mumbai,"₹ 2,00,000 - 3,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fde88227081580195464.png.webp
Foundation Faculty K-10 - Science (IIT/JEE/NEET),"CloudBird Digital Private Limited (Noida, India)","Riyadh (Saudi Arabia), Dammam (Saudi Arabia), Al Jubail (Saudi Arabia)","₹ 11,00,000 - 12,00,000",3-4 years,https://internshala-uploads.internshala.com/logo%2F6267cec193e551650970305.jpg.webp
Content Writer,PassionMojo Private Limited,Mumbai,"₹ 3,00,000 - 3,60,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F619cae0ce93951637658124.png.webp
Client Relationship Manager,Codezin Technology Solutions,Kolkata,"₹ 2,70,000 - 3,50,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd73768101580195187.png.webp
Inside Sales Executive,Prepca Eduserv Private Limited,Pune,"₹ 5,30,000 - 6,80,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F622b3a86b22fb1647000198.png.webp
UI/UX Designer,QuadB Tech,Ludhiana,"₹ 2,00,000 - 3,00,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F61e53da647aee1642413478.png.webp
Student Counselor,Prepca Eduserv Private Limited,Pune,"₹ 5,00,000 - 6,80,000",2-5 years,https://internshala-uploads.internshala.com/logo%2F622b3a86b22fb1647000198.png.webp
Graphic Designer,Break The Code,Mumbai,"₹ 2,00,000 - 4,00,000",0-2 years,none
Junior Motion Graphics Associate,Break The Code,Mumbai,"₹ 2,00,000 - 4,00,000",0-2 years,none
Academic Content Writer,Requin Solutions Private Limited,Jaipur,"₹ 2,00,000 - 2,10,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F63abd79ca437f1672206236.png.webp
Administration Executive,Saroj Education Group,Mumbai,"₹ 2,00,000 - 4,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdd53327ea1580195155.png.webp
Business Development Executive,Central Convoy,Rohtak,"₹ 2,00,000",0-5 years,none
Customer Care & Social Media Support,Soulflower,Mumbai,"₹ 3,00,000 - 4,20,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F5e2fdbeb83b871580194795.jpg.webp
Junior Operations Manager,Picostone,Mumbai,"₹ 3,00,000",0-2 years,none
Digital Marketing Manager,JVJ DREAM DEVELOPERS,Jaipur,"₹ 2,00,000 - 4,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F64253ba4cc6ba1680161700.png.webp
Retail Store Manager & Sales,Goyam Organic Private Limited,Mumbai,"₹ 2,40,000 - 5,00,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F5ee9f78abb1fc1592391562.jpg.webp
Business Development Associate,Break The Code,Mumbai,"₹ 2,00,000 - 3,00,000",0-1 years,none
